label,en,zh-CN,zh-TW,fa,ru,es,uk,ar
no-internet-connection,No Internet connection,无网络连接,無網絡連接,اتصال اینترنت وجود ندارد,Нет подключения к Интернету,Sin conexión a Internet,Немає підключення до Інтернету,لا يوجد اتصال بالإنترنت
no-update-blurb,"Automatic updates are not available for this platform. Please follow our Telegram channel for update notifications:",自动更新不可用于此平台。请关注我们的Telegram频道以获取更新通知：,自動更新不可用於此平台。請關注我們的Telegram頻道以獲取更新通知：,آپدیت های خودکار برای این پلتفرم در دسترس نیست. برای آپدیت های آینده کانال تلگرام ما را دنبال کنید.,Автоматические обновления недоступны для этой платформы. Пожалуйста, следите за нашим каналом в Telegram для уведомлений об обновлениях:,"Las actualizaciones automáticas no están disponibles para esta plataforma. Por favor, sigue nuestro canal de Telegram para notificaciones de actualizaciones:","Автоматичні оновлення недоступні для цієї платформи. Будь ласка, слідкуйте за нашим каналом у Telegram для сповіщень про оновлення:",التحديثات التلقائية غير متاحة على هذه المنصة. يرجى متابعة قناتنا على Telegram للحصول على إشعارات التحديث:
not-now,Not now,暂不,暫不,فعلا نه,Не сейчас,No ahora,Не зараз,ليس الآن
note,Note,注意,注意,یادداشت,Примечание,Nota,Примітка,ملاحظة
other,Other,其他,其他,دیگر,Другое,Otro,Інше,أخرى
other-payment-methods,"Other (crypto, buy vouchers, etc)","其他（加密货币、购买礼品卡等）","其他（加密貨幣、購買禮品卡等）","سایر (ارز دیجیتال، خرید کد تخفیف و غیره)","Другое (крипто, купить ваучеры и т.д.)","Otros (cripto, comprar cupones, etc.)","Інше (крипто, купити ваучери тощо)",أخرى (عملات مشفرة، شراء قسائم، إلخ)
p2p-no,P2P banned,禁止BT,禁止P2P,P2P غیرمجاز,P2P запрещено,P2P prohibido,P2P заборонено,P2P محظور
p2p-yes,P2P allowed,允许BT,允許P2P,P2P مجاز,P2P разрешено,P2P permitido,P2P дозволено,P2P مسموح
packet-loss,Packet Loss,丟包,丟包,Packet Loss,Потеря пакетов,Pérdida de paquetes,Втрата пакетів,فقدان الحزم
password,Password,密码,密碼,رمزعبور,Пароль,Contraseña,Пароль,كلمة المرور
pay-now,Pay now,立即支付,立即支付,همین حالا پرداخت کنید,Оплатить сейчас,Pagar ahora,Оплатити зараз,ادفع الآن
payment-processed-refresh,"Once your payment is processed, refresh to view your updated account status:","支付处理完成后，<br>请刷新以查看更新的账户状态：","支付處理完成後，<br>請刷新以查看更新的帳戶狀態：","پس از پردازش پرداخت شما، برای مشاهده وضعیت به‌روز شده حساب کاربری خود، صفحه را تازه‌سازی کنید:","После обработки вашего платежа обновите страницу, чтобы увидеть обновленный статус вашего аккаунта:","Una vez que se procese tu pago, actualiza para ver el estado actualizado de tu cuenta:","Після обробки вашого платежу оновіть сторінку, щоб побачити оновлений статус вашого облікового запису:",بعد معالجة دفعتك، حدّث الصفحة لعرض حالة حسابك المحدثة:
plus-account,Plus account,Plus 账户,Plus 帳戶,حساب پلاس,Plus аккаунт,Cuenta Plus,Обліковий запис Plus,حساب Plus
plus-device-limit-note,One Plus account can be used on <b>up to 5 devices</b> at the same time.,一个 Plus 账户最多可同时在 <b>5 台设备</b>上使用。,一個 Plus 帳戶最多可同時在 <b>5 台設備</b>上使用。,یک حساب Plus همزمان می‌تواند حداکثر روی <b>5 دستگاه</b> استفاده شود.,Один аккаунт Plus можно использовать максимум на <b>5 устройствах</b> одновременно.,Una cuenta Plus se puede usar en <b>hasta 5 dispositivos</b> al mismo tiempo.,Один обліковий запис Plus можна використовувати щонайбільше на <b>5 пристроях</b> одночасно.,يمكن استخدام حساب Plus واحد على <b>ما يصل إلى 5 أجهزة</b> في الوقت نفسه.
plus-expiry,Plus expiry,Plus 到期时间,Plus 到期時間,انقضای Plus,Срок действия Plus,Expiración de Plus,Термін дії Plus,انتهاء Plus
plus-is-great,"Plus unlocks full speed on all servers!",Plus解除所有服务器的限速！,Plus解除所有服務器的限速！,پلاس قابلیت سرعت نامحدود را روی تمام سرور ها برای شما باز می‌کند!,"Plus разблокирует полную скорость на всех серверах!","¡Plus desbloquea velocidad completa en todos los servidores!","Plus розблоковує повну швидкість на всіх серверах!",يفتح Plus السرعة الكاملة على جميع الخوادم!
plus-only-blurb,"Only Plus users are allowed on this server, select another one.",仅Plus用户允许访问此服务器,仅Plus用户允许访问此服务器,این سرور مخصوص اعضای پلاس است,"На этот сервер допускаются только пользователи Plus, выберите другой.","Solo usuarios Plus están permitidos en este servidor, selecciona otro.","На цей сервер допускаються тільки користувачі Plus, оберіть інший.",يسمح فقط لمستخدمي Plus على هذا الخادم، اختر خادما آخر.
plus-server,Plus,仅限Plus,僅限Plus,پلاس,Plus,Plus,Plus,Plus
promo-code,Promo code,优惠码,優惠碼,کد تبلیغاتی,Промокод,Código promocional,Промокод,رمز العرض
promo-code-blurb,Any discounts for this code will be applied at checkout!,此优惠码的任何折扣将在结账时应用！,此優惠碼的任何折扣將在結帳時應用！,هرگونه تخفیف برای این کد هنگام پرداخت اعمال می‌شود!,Любые скидки по этому коду будут применены при оформлении заказа!,Cualquier descuento para este código se aplicará al finalizar la compra!,Будь-які знижки за цим кодом будуть застосовані при оформленні замовлення!,سيتم تطبيق أي خصومات لهذا الرمز عند الدفع!
protocol,Protocol,协议,協議,پروتکل,Протокол,Protocolo,Протокол,البروتوكول
recurring-subscription,Recurring subscription,自动续费 Plus,自動續費 Plus,اشتراک دوره‌ای,Периодическая подписка,Suscripción recurrente,Періодична підписка,اشتراك متكرر
subscription-expiring,Subscription expiring soon,订阅即将到期,訂閱即將到期,اشتراک شما به زودی منقضی می‌شود,Срок действия подписки скоро истекает,La suscripción vence pronto,Термін дії підписки скоро закінчується,الاشتراك سينتهي قريبا
subscription-expiring-body,Your Plus expires on,您的 Plus 将在此日期到期,您的 Plus 將在此日期到期,پلاس شما در این تاریخ منقضی می‌شود,Ваш Plus истекает,Tu Plus vence el,Ваш Plus закінчується,ينتهي Plus الخاص بك في
subscription-expiring-body-generic,Your Plus subscription is expiring soon.,您的 Plus 即将到期。,您的 Plus 即將到期。,اشتراک پلاس شما به زودی منقضی می‌شود.,Ваша подписка Plus скоро истекает.,Tu suscripción Plus vence pronto.,Ваша підписка Plus скоро закінчується.,اشتراك Plus الخاص بك سينتهي قريبا.
free-limits-title,If your subscriptions expires...,如果您的订阅过期...,如果您的訂閱過期...,اگر اشتراکتان منقضی شود...,Если ваша подписка истечет...,Si tu suscripción vence...,Якщо ваша підписка завершиться...,إذا انتهى اشتراكك...
free-limits-one,You'll downgrade to Free: greatly reduced locations and 3G-equivalent speed limits.,您会降级至免费账户——速度限制到3G网络程度，许多地区和流媒体服务器也不可用。,在免費狀態下，速度會大幅受限，且許多位置與串流伺服器將不可用。,در حالت رایگان، سرعت به‌شدت محدود است و دسترسی به بسیاری از موقعیت‌ها و سرورهای استریم محدود می‌شود.,В бесплатном режиме скорость сильно ограничена а доступ ко многим локациям и потоковым серверам закрыт.,En la versión Free la velocidad está fuertemente limitada y el acceso a muchas ubicaciones y servidores de streaming está restringido.,У безкоштовному режимі швидкість суттєво обмежена а доступ до багатьох локацій і стримінгових серверів закритий.,سيتم تخفيضك إلى مجاني: مواقع أقل بكثير وحدود سرعة مكافئة لـ 3G.
redeem,Redeem,兑换,兌換,بازخرید,Активировать,Canjear,Активувати,استرداد
redeem-voucher,Redeem voucher,兑换礼品卡,兌換礼品卡,بازخرید کد تخفیف,Использовать ваучер,Canjear cupón,Використати ваучер,استرداد قسيمة
refresh-account-info,"Refresh account info","刷新账户信息","刷新帳戶資訊","به‌روزرسانی اطلاعات حساب","Обновить информацию об аккаунте","Actualizar información de la cuenta","Оновити інформацію про обліковий запис",تحديث معلومات الحساب
refresh-user,Refresh info,刷新用户信息,刷新用戶訊息,تازه‌سازی اطلاعات,Обновить информацию,Actualizar información,Оновити інформацію,تحديث المعلومات
refreshing-user-info,Refreshing user info,正在刷新用户信息,正在刷新用戶信息,به روز رسانی اطلاعات کاربر,Обновление информации пользователя,Actualizando información del usuario,Оновлення інформації користувача,جار تحديث معلومات المستخدم
register,Register,注册,註冊,افتتاح حساب,Регистрация,Registrarse,Зареєструватися,تسجيل
register-blurb,Create a new account,创建新帐号,創建新帳號,ایجاد حساب کاربری جدید,Создать новый аккаунт,Crear una nueva cuenta,Створити новий обліковий запис,إنشاء حساب جديد
register-warning,"In order to protect against spam and automated signups, creating an account may take an extended period of time.","为了防止批量自动注册，创建账户可能需要较长时间。","為了減少批量自動註冊，創建帳戶可能需要較長時間。","برای جلوگیری از هرزنامه و ثبت‌نام‌های خودکار، ایجاد حساب کاربری ممکن است زمان زیادی ببرد.","Для предотвращения спама и автоматических регистраций создание аккаунта может занять длительное время.","Para proteger contra spam y registros automatizados, crear una cuenta puede tomar un período extendido de tiempo.","Щоб захистити від спаму та автоматичних реєстрацій, створення облікового запису може зайняти тривалий час.",للحماية من الرسائل المزعجة والتسجيلات الآلية، قد يستغرق إنشاء الحساب وقتا طويلا.
remaining-days,Remaining days,剩余天数,剩餘天數,روزهای باقی‌مانده,Осталось дней,Días restantes,Залишилося днів,الأيام المتبقية
renewal,Renewal,续订,續訂,تمدید,Продление,Renovación,Продовження,التجديد
report-problem,"Report a problem","报告问题","回報問題","گزارش مشکل","Сообщить о проблеме","Reportar un problema","Повідомити про проблему",الإبلاغ عن مشكلة
report-problem,"Report a problem","报告问题","回報問題","گزارش مشکل","Сообщить о проблеме","Reportar un problema","Повідомити про проблему",الإبلاغ عن مشكلة
routing-mode,Routing mode,路由模式,路由模式,حالت مسیریابی,Режим маршрутизации,Modo de enrutamiento,Режим маршрутизації,وضع التوجيه
search-apps,"Search apps...","搜索应用...","搜索應用...","جستجوی برنامه‌ها...","Поиск приложений...","Buscar aplicaciones...","Пошук додатків...",البحث في التطبيقات...
search-apps,Search apps...,搜索应用...,搜索應用...,جستجوی برنامه‌ها...,Поиск приложений...,Buscar aplicaciones...,Пошук додатків...,البحث في التطبيقات...
select,"Select","选择","選擇","انتخاب","Выбрать","Seleccionar","Вибрати",اختيار
select-apps,Select apps,选择应用,選擇應用,انتخاب برنامه‌ها,Выберите приложения,Seleccionar aplicaciones,Вибрати додатки,اختيار التطبيقات
select-apps-blurb,Choose which apps will use Geph,选择哪些应用将使用迷雾通,選擇哪些應用將使用迷霧通,انتخاب کنید کدام برنامه‌ها از Geph استفاده کنند,Выберите приложения, которые будут использовать Geph,Elige qué aplicaciones usarán Geph,"Виберіть, які додатки використовуватимуть Geph",اختر التطبيقات التي ستستخدم Geph
select-excluded-apps,Select excluded apps,选择要排除的应用程序,選擇要排除的應用程式,انتخاب برنامه های صرف‌نظر شده,Выберите исключенные приложения,Seleccionar aplicaciones excluidas,Вибрати виключені додатки,اختيار التطبيقات المستثناة
select-excluded-apps-blurb,"Select which apps should bypass Geph","选择哪些应用应绕过迷雾通","選擇哪些應用應繞過迷霧通","انتخاب کنید کدام برنامه‌ها باید از Geph عبور کنند","Выберите, какие приложения должны обходить Geph","Selecciona qué aplicaciones deben evitar Geph","Виберіть, які додатки повинні обходити Geph",اختر التطبيقات التي ينبغي أن تتجاوز Geph
select-excluded-apps-description,"Select apps that will NOT use Geph. All other apps will be routed through Geph.","选择不使用迷雾通的应用。其他所有应用将通过迷雾通路由。","選擇不使用迷霧通的應用。其他所有應用將通過迷霧通路由。","برنامه‌هایی را انتخاب کنید که از Geph استفاده نخواهند کرد. همه برنامه‌های دیگر از طریق Geph مسیریابی خواهند شد.","Выберите приложения, которые НЕ будут использовать Geph. Все остальные приложения будут направлены через Geph.","Selecciona aplicaciones que NO usarán Geph. Todas las demás aplicaciones serán enrutadas a través de Geph.","Виберіть додатки, які НЕ використовуватимуть Geph. Усі інші додатки будуть спрямовані через Geph.",اختر التطبيقات التي لن تستخدم Geph. سيتم توجيه كل التطبيقات الأخرى عبر Geph.
selected-apps,Selected apps,已选择的应用,已選擇的應用,برنامه‌های انتخاب شده,Выбранные приложения,Aplicaciones seleccionadas,Вибрані додатки,التطبيقات المختارة
server-id,ID,服务器 ID,伺服器 ID,شناسه,ID,ID,ID,المعرّف
settings,Settings,设置,設置,تنظیمات,Настройки,Configuraciones,Налаштування,الإعدادات
show-all-servers,Show all servers,显示所有服务器,顯示所有服務器,نمایش تمام سرورها,Показать все серверы,Mostrar todos los servidores,Показати всі сервери,إظهار كل الخوادم
skip-wait-login-secret,"If you already have another device with Geph, you can skip this wait by logging in with your account secret instead:","如果您已经有其他设备使用迷雾通，可以通过使用您的账户密钥登录来跳过等待：","如果您已經有其他設備使用迷雾通，可以通過使用您的帳戶密鑰登錄來跳過等待：","اگر از قبل دستگاه دیگری با Geph دارید، می‌توانید با ورود با رمز حساب کاربری خود این انتظار را رد کنید.","Если у вас уже есть другое устройство с Geph, вы можете пропустить ожидание, войдя с помощью секретного ключа аккаунта.","Si ya tienes otro dispositivo con Geph, puedes saltarte esta espera iniciando sesión con tu secreto de cuenta en su lugar:","Якщо у вас вже є інший пристрій з Geph, ви можете пропустити це очікування, увійшовши за допомогою секретного ключа облікового запису.",إذا كان لديك جهاز آخر يستخدم Geph بالفعل، يمكنك تخطي هذا الانتظار بتسجيل الدخول باستخدام سر حسابك بدلا من ذلك:
split-tunneling,Split tunneling,分流隧道,分流隧道,تونل بندی جداگانه,Разделённое туннелирование,Túnel dividido,Розділене тунелювання,النفق المقسم
data-collection,Data collection,数据收集,資料收集,جمع‌آوری داده,Сбор данных,Recopilación de datos,Збирання даних,جمع البيانات
data-collection-blurb,"<p>We are committed to your privacy and do not collect, modify, or store your browsing activity or personal data beyond what is strictly necessary to provide our VPN service:</p><br/><p><strong>User Account</strong>: We store your randomly generated account secret number for secure, anonymous authentication and the account creation date. No personal identifiers, such as names or email addresses, are collected.</p><br/><p><strong>Payment Information</strong>: For paid users, we store transaction details required to process payments, such as purchase dates and amounts. No additional financial data is retained.</p><br/><p><strong>Temporary Session Data</strong>: We temporarily hold minimal data in memory to encrypt and route your traffic through our servers. This data is deleted immediately after you disconnect and is never stored permanently.</p><br/><p><strong>No Tracking</strong>: We do not track, log, or store your browsing history, IP addresses, or connection details.</p><br/><p>For more details, see our <a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">Privacy Policy</a>.</p>","<p>我们致力于保护您的隐私，仅收集提供 VPN 服务所需的最少数据，不会收集、修改或存储您的浏览活动或个人数据：</p><br/><p><strong>用户账户</strong>：我们为每位用户存储一个随机生成的账户秘密号码用于安全、匿名的身份验证，以及账户创建日期。不收集任何个人标识信息，如姓名或电子邮件地址。</p><br/><p><strong>支付信息</strong>：对于付费用户，我们存储处理支付所需的交易详情，如购买日期和金额。不保留其他财务数据。</p><br/><p><strong>临时会话数据</strong>：我们在内存中临时存储加密和路由流量所需的最少数据。这些数据在您断开连接后立即删除，永不永久存储。</p><br/><p><strong>无跟踪</strong>：我们不跟踪、记录或存储您的浏览历史、IP 地址或连接详情。</p><br/><p>欲了解更多信息，请参阅我们的<a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">隐私政策</a>。</p>","<p>我們致力於保護您的隱私，僅收集提供 VPN 服務所需的最少數據，不會收集、修改或儲存您的瀏覽活動或個人數據：</p><br/><p><strong>用戶帳戶</strong>：我們為每位用戶儲存一個隨機生成的帳戶秘密號碼用於安全、匿名的身份驗證，以及帳戶創建日期。不收集任何個人識別資訊，如姓名或電子郵件地址。</p><br/><p><strong>支付資訊</strong>：對於付費用戶，我們儲存處理支付所需的交易詳情，如購買日期和金額。不保留其他財務數據。</p><br/><p><strong>臨時會話數據</strong>：我們在內存中臨時儲存加密和路由流量所需的最少數據。這些數據在您斷開連接後立即刪除，永不永久儲存。</p><br/><p><strong>無追蹤</strong>：我們不追蹤、記錄或儲存您的瀏覽歷史、IP 地址或連接詳情。</p><br/><p>欲了解更多信息，請參閱我們的<a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">隱私政策</a>。</p>","<p>ما متعهد به حفاظت از حریم خصوصی شما هستیم و هیچ‌گونه داده‌ای از فعالیت‌های مرور شما یا اطلاعات شخصی‌تان را فراتر از آنچه برای ارائه خدمات VPN ضروری است، جمع‌آوری، تغییر یا ذخیره نمی‌کنیم:</p><br/><p><strong>حساب کاربری</strong>: ما برای هر کاربر یک شماره مخفی حساب که به‌صورت تصادفی تولید شده است را برای احراز هویت امن و ناشناس و تاریخ ایجاد حساب ذخیره می‌کنیم. هیچ اطلاعات شناسایی شخصی مانند نام یا آدرس ایمیل جمع‌آوری نمی‌شود.</p><br/><p><strong>اطلاعات پرداخت</strong>: برای کاربران پرداخت‌کننده، ما جزئیات تراکنش‌های لازم برای پردازش پرداخت‌ها، مانند تاریخ خرید و مبلغ، را ذخیره می‌کنیم. هیچ داده مالی اضافی نگهداری نمی‌شود.</p><br/><p><strong>داده‌های موقت نشست</strong>: ما به‌صورت موقت داده‌های حداقلی مورد نیاز برای رمزگذاری و مسیریابی ترافیک شما از طریق سرورهایمان را در حافظه نگه می‌داریم. این داده‌ها بلافاصله پس از قطع اتصال حذف می‌شوند و هرگز به‌صورت دائم ذخیره نمی‌گردند.</p><br/><p><strong>بدون ردیابی</strong>: ما تاریخچه مرور، آدرس‌های IP یا جزئیات اتصال شما را ردیابی، ثبت یا ذخیره نمی‌کنیم.</p><br/><p>برای اطلاعات بیشتر، به <a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">سیاست حفظ حریم خصوصی</a> ما مراجعه کنید.</p>","<p>Мы стремимся защищать вашу конфиденциальность и не собираем, не изменяем и не храним данные о вашей активности в интернете или личные данные, кроме тех, что строго необходимы для предоставления услуг VPN:</p><br/><p><strong>Учетная запись пользователя</strong>: Для каждого пользователя мы сохраняем случайно сгенерированный секретный номер учетной записи для безопасной анонимной аутентификации и дату создания учетной записи. Никакие личные идентификаторы, такие как имена или адреса электронной почты, не собираются.</p><br/><p><strong>Платежная информация</strong>: Для платящих пользователей мы храним детали транзакций, необходимые для обработки платежей, такие как даты покупок и суммы. Дополнительные финансовые данные не сохраняются.</p><br/><p><strong>Временные данные сессии</strong>: Мы временно храним в памяти минимальные данные, необходимые для шифрования и маршрутизации вашего трафика через наши серверы. Эти данные удаляются сразу после вашего отключения и никогда не сохраняются постоянно.</p><br/><p><strong>Отсутствие отслеживания</strong>: Мы не отслеживаем, не регистрируем и не храним историю вашего просмотра, IP-адреса или детали подключения.</p><br/><p>Для получения дополнительной информации см. нашу <a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">политику конфиденциальности</a>.</p>",,,"<p>نحن ملتزمون بخصوصيتك ولا نجمع أو نعدّل أو نخزن نشاط التصفح أو البيانات الشخصية إلا بالقدر الضروري تماما لتقديم خدمة VPN:</p><br/><p><strong>حساب المستخدم</strong>: نخزن رقم سر الحساب العشوائي الخاص بك للمصادقة الآمنة والمجهولة، وتاريخ إنشاء الحساب. لا يتم جمع أي معرّفات شخصية مثل الأسماء أو عناوين البريد الإلكتروني.</p><br/><p><strong>معلومات الدفع</strong>: بالنسبة للمستخدمين المدفوعين، نخزن تفاصيل المعاملات اللازمة لمعالجة المدفوعات، مثل تواريخ الشراء والمبالغ. لا نحتفظ بأي بيانات مالية إضافية.</p><br/><p><strong>بيانات الجلسة المؤقتة</strong>: نحتفظ مؤقتا في الذاكرة بالحد الأدنى من البيانات اللازمة لتشفير حركة مرورك وتوجيهها عبر خوادمنا. يتم حذف هذه البيانات فور قطع الاتصال ولا تخزن بشكل دائم أبدا.</p><br/><p><strong>بدون تتبع</strong>: لا نتتبع أو نسجل أو نخزن سجل تصفحك أو عناوين IP أو تفاصيل الاتصال.</p><br/><p>لمزيد من التفاصيل، راجع <a href=""https://github.com/geph-official/geph5/wiki/Policies-and-terms"" target=""_blank"" rel=""noopener"" style=""color: #0066cc; text-decoration: underline;"">سياسة الخصوصية</a>.</p>"
privacy-eula,Privacy Policy / Terms of Use,隐私政策 / 使用条款,隱私政策 / 使用條款,سیاست حفظ حریم خصوصی / شرایط استفاده,Политика конфиденциальности / Условия использования,Política de privacidad / Términos de uso,Політика конфіденційності / Умови використання,سياسة الخصوصية / شروط الاستخدام
data-collection-agree,"I Understand and Agree","我了解并同意","我了解並同意","می‌فهمم و موافقم","Я понимаю и согласен","Entiendo y estoy de acuerdo","Я розумію і погоджуюся",أفهم وأوافق
ok,OK,确定,確定,باشه,ОК,OK,OK,حسنا
streaming-blurb,"Optimized for video services and region-locked media.","为视频服务和区域锁定的媒体进行了优化。","為視訊服務和區域鎖定的媒體進行了最佳化。","برای سرویس‌های ویدیویی و محتوای محدود به منطقه بهینه شده‌اند.","Оптимизированы для видеосервисов и регионально ограниченного контента.","Optimizados para servicios de video y contenido con bloqueo regional.","Оптимізовані для відеосервісів та регіонально обмеженого контенту.",محسن لخدمات الفيديو والوسائط المقيدة بالمناطق.
streaming-tab,"Streaming","流媒体","流媒體","استریمینگ","Стриминг","Transmisión","Потокове передавання",البث
successfully-submitted,"Successfully submitted","提交成功","提交成功","با موفقیت ارسال شد","Успешно отправлено","Enviado exitosamente","Успішно надіслано",تم الإرسال بنجاح
theme,Theme,主题,主題,قالب,Тема,Tema,Тема,السمة
today,Today,今天,今天,امروز,Сегодня,Hoy,Сьогодні,اليوم
total-traffic,Current traffic,当前速率,當前速率,کل ترافیک,Общий трафик,Tráfico actual,Поточний трафік,حركة المرور الحالية
total-users,Total users,总用户数,總用戶數,کل کاربران,Всего пользователей,Usuarios totales,Всього користувачів,إجمالي المستخدمين
unlimited-bandwidth,Unmetered usage,无限用量,無限用量,پهنای باند نامحدود,Безлимитная пропускная способность,Uso ilimitado,Необмежене використання,استخدام غير مقيد
unlimited-tab,Unlimited,无限,無限,نامحدود,Безлимит,Ilimitado,Необмежений,غير محدود
unlock-all-locations,"🌎 Unlock all locations","🌎 解锁所有位置","🌎 解鎖所有位置","🌎 همه مکان‌ها را باز کنید","🌎 Разблокировать все локации","🌎 Desbloquear todas las ubicaciones","🌎 Розблокувати всі локації",🌎 فتح كل المواقع
unrestricted-access,"Enjoy unrestricted access to ports other than 80 and 443. Perfect for gaming, P2P, video conferencing, and more.","享受对除 80 和 443 之外端口的 无限制访问。非常适合游戏、P2P、视频会议等。","享受對除 80 和 443 之外端口的 無限制訪問。非常適合遊戲、P2P、視頻會議等。","از دسترسی نامحدود به پورت‌های غیر از 80 و 443 لذت ببرید. مناسب برای بازی، P2P، ویدئو کنفرانس و موارد دیگر","Наслаждайтесь неограниченным доступом к портам, кроме 80 и 443. Идеально для игр, P2P, видеоконференций и многого другого.","Disfruta de acceso ilimitado a puertos distintos de 80 y 443. Perfecto para juegos, P2P, videoconferencias y más.","Насолоджуйтесь необмеженим доступом до портів, окрім 80 та 443. Ідеально для ігор, P2P, відеоконференцій тощо.",استمتع بوصول غير مقيد إلى منافذ غير 80 و443. مثالي للألعاب وP2P ومؤتمرات الفيديو والمزيد.
upgrade,Upgrade,升级,升級,ارتقا,Обновить,Actualizar,Оновити,ترقية
upgrade-to-plus-locations,"Upgrade to Plus to unlock premium locations","升级到 Plus 以解锁高级位置","升級到 Plus 以解鎖高級位置","برای دسترسی به مکان‌های ویژه به پلاس ارتقا دهید","Обновите до Plus, чтобы разблокировать премиум-локации","Actualiza a Plus para desbloquear ubicaciones premium","Оновіть до Plus, щоб розблокувати преміум-локації",قم بالترقية إلى Plus لفتح المواقع المميزة
upgrade-to-plus-speed,Upgrade to Plus for unlimited speed!,升级到 Plus 畅享超高速度！,升級到 Plus 以獲得超高速度！,برای سرعت نامحدود به Plus ارتقا دهید,Обновите до Plus для безлимитной скорости!,¡Actualiza a Plus para velocidad ilimitada!,Оновіть до Plus для необмеженої швидкості!,قم بالترقية إلى Plus للحصول على سرعة غير محدودة!
upload,Upload,上传,上傳,آپلود,Загрузить,Subir,Завантажити,رفع
use-automatic,Automatically select server,自动选择服务器,自動選擇伺服器,انتخاب خودکار سرور,Автоматически выбрать сервер,Seleccionar servidor automáticamente,Автоматично вибрати сервер,اختيار الخادم تلقائيا
use-later,Use later,稍后使用,稍後使用,استفاده در آینده,Использовать позже,Usar más tarde,Використати пізніше,استخدام لاحقا
voucher-notification-ok,Okay,好的,好的,باشه,Хорошо,De acuerdo,Гаразд,حسنا
user-secret-info,"Your user secret is a unique random code that <b>replaces your username and password</b>.","您的账户密钥是一个随机数字，<b>取代旧版本中的用户名和密码</b>。","您的帳戶金鑰是一個隨機數字，<b>取代舊版本中的使用者名稱和密碼</b>。","رمز حساب کاربری شما یک کد تصادفی منحصربه‌فرد است که جایگزین نام کاربری و رمز عبور می‌شود.","Ваш секретный ключ аккаунта — это уникальный случайный код, заменяющий логин и пароль.","Tu secreto de usuario es un código aleatorio único que <b>reemplaza tu nombre de usuario y contraseña</b>.","Ваш секретний ключ облікового запису — це унікальний випадковий код, що замінює ім'я користувача та пароль.",سر المستخدم الخاص بك هو رمز عشوائي فريد <b>يحل محل اسم المستخدم وكلمة المرور</b>.
username,Username,用户名,用戶名,نام کاربری,Имя пользователя,Nombre de usuario,Ім'я користувача,اسم المستخدم
via,Via,经由,經由,از طریق,Через,Vía,Через,عبر
voucher-code,Voucher code,礼品卡代码,礼品卡代碼,کد تخفیف,Код ваучера,Código de cupón,Код ваучера,رمز القسيمة
voucher-invalid,"Invalid voucher code","无效的礼品卡代码","無效的禮品卡代碼","کد تخفیف نامعتبر","Недействительный код ваучера","Código de cupón inválido","Недійсний код ваучера",رمز القسيمة غير صالح
voucher-success,"Voucher redeemed","礼品卡兑换成功","禮品卡兌換成功","کد تخفیف با موفقیت بازخرید شد","Ваучер успешно активирован","Cupón canjeado","Ваучер успішно активовано",تم استرداد القسيمة
wechat,WeChat,微信,微信,وی‌چت,WeChat,WeChat,WeChat,WeChat
wechat-alipay-no-refund-note,WeChat and Alipay payments cannot be refunded due to payment-platform limitations.,由于支付平台限制，微信和支付宝付款无法退款。,由於支付平台限制，微信和支付寶付款無法退款。,پرداخت‌های WeChat و Alipay به دلیل محدودیت‌های پلتفرم پرداخت قابل بازپرداخت نیستند.,Платежи через WeChat и Alipay нельзя вернуть из-за ограничений платежных платформ.,Los pagos con WeChat y Alipay no se pueden reembolsar debido a limitaciones de las plataformas de pago.,Платежі через WeChat і Alipay не можна повернути через обмеження платіжних платформ.,لا يمكن رد مدفوعات WeChat وAlipay بسبب قيود منصات الدفع.
yesterday,Yesterday,昨天,昨天,دیروز,Вчера,Ayer,Вчора,أمس
your-email-optional,"Your email (optional)","您的邮箱（可选）","您的郵箱（可選）","ایمیل شما (اختیاری)","Ваш email (необязательно)","Tu correo electrónico (opcional)","Ваш email (необов'язково)",بريدك الإلكتروني (اختياري)
your-new-user-secret,"Your new user secret is:","您的新的账户密钥为：","您的新的帳戶密鑰為：","رمز حساب کاربری جدید شما این است:","Ваш новый секретный ключ аккаунта:","Tu nuevo secreto de usuario es:","Ваш новий секретний ключ облікового запису:",سر المستخدم الجديد الخاص بك هو:
remove-speed-limit,Unlimited speed,无限速,無限速,حذف محدودیت سرعت,Убрать ограничение скорости,Eliminar límite de velocidad,Прибрати обмеження швидкості,سرعة غير محدودة
access-premium-locations,Access premium locations,访问高级位置,訪問高級位置,دسترسی به مکان‌های ممتاز,Доступ к премиум-локациям,Accede a ubicaciones premium,Доступ до преміум-локацій,الوصول إلى المواقع المميزة
